id,oriented,tetrahedra
dLQbcccdxwb,1,3
eLPkbcddddgors,0,4
eLPkbcddddgkcs,0,4
eLPkbcdddhggsj,1,4
fLLQccdcdeetgrfmw,0,5
fLLQcbcedeetsafmd,0,5
fLLQcbcedeeajhfat,0,5
fLLQcbedededloifu,0,5
fLLQcccddeeunnvur,0,5
fvPQccdedeejkjjfk,0,5
fLLQcbcedeeajhfea,0,5
fLLQcbcdeeelsohxh,1,5
eLPkaccddjjsan,1,4
gLLAQccdeeffakvhqvj,0,6
gLLAQbcdeeffhfreeok,0,6
gLLAQbcedffftsafhrb,0,6
gLLAQbcedffftsafann,0,6
gLLPQccdfeffankaaof,0,6
eLPkaccddjbsaj,1,4
gLLAQccdeeffakvhuvn,0,6
gLLAQaddefffnhaevgk,0,6
gLvQQbefdfefdahfeps,0,6
gLLAQcdeeffflcuapmv,0,6
gLLAQbcdeffflccdaww,0,6
gLLAQbdeefffhgddqaw,0,6
gLLAQbcdeeffhbcpigw,1,6
fLLQccceddetnhcjs,1,5
fLLQccceddetnhcww,1,5
hLLAMkbeedffggaapkabcw,0,7
hLLMAkbddeefggajriisxk,0,7
hLLAMkbeedffgghqmkajcw,0,7
hLLAAkbcdeefggxbraagxk,0,7
hLLAMkbcedfgggtsafhamm,0,7
hLLAMkbcedfgggtsxfaaaa,0,7
fLLQccceddeqfhjws,1,5
fLwQcaceddejgxqsr,1,5
hLLAMkbeedffggaapwabcs,0,7
hLLPMkccdfefggakkaxfhj,0,7
hLLAMkbdeeffggevdpancw,0,7
hLLAPkbdecfgggevdnnvco,0,7
hLwLQkacgfefggjgjgkkss,0,7
hLLAMkcedefgggqavpafsc,0,7
hLLLQkbdfgfggfxveqxboc,0,7
hLLPAkcefefegguumiaiok,0,7
hLLLQkbedgffggaanxhjsk,0,7
hLLAMkcddefgggtcvaxaee,0,7
hLLAMkbcedfgggljhfaaaa,0,7
gLLPQcdcfeefhrnqawk,1,6
gLLPQcdcfeffhsratjk,1,6
gLLPQcdcfeefhrrqask,1,6
iLLLMQcbedgffghhhafhkkjfw,0,8
iLLLMQcbedgffghhaafhssofw,0,8
iLLLQMcbedeffghhahfuxwjxk,0,8
iLLLMQcbedgffghhhhfhosjfw,0,8
iLLAMMcbeedffghhxxtkagkhw,0,8
iLLAMPcbcedfghhhtsafhxarr,0,8
iLLAMPcbcedfghhhtsafaaann,0,8
iLLPMPcccdfeghhhqffaaaann,0,8
gLLAQaeddeffniadcfw,1,6
iLLAwQcbeedfhhghaapwxpewp,0,8
iLLLMQcbedgffghhaaflssofs,0,8
iLLMLQcbdedfgghhajpfvnfmw,0,8
iLLLMQcbceffhgghdnpegvokk,0,8
iLLPzQcccdefghghubwdnjhwj,0,8
iLLAMPccedefgghhhavuufglw,0,8
iLLzQPccdegfgghhpwaptosxj,0,8
iLLLAQcbegfgfhhhaaiqmjwgo,0,8
iLvLQQcbefehgghhdieipgkvr,0,8
iLLLAQccefgefghhuhdihgwck,0,8
iLLAMPccedefghhhptvauoaii,0,8
iLLAMPcbcdefghhhlccdaaaww,0,8
iLLAMPccddefghhhhcvahaaww,0,8
hLLAAkcedeefgghlvaeqxn,1,7
hLLAAkbddeefggxvrdtvxn,1,7
hLLAAkaeddefggjiadcjhw,1,7
jLLLMMQbedghhgihiaafhfjohfw,0,9
jLLLMAQcdgfefhiiihsaarfoaip,0,9
jLLLMAQcdgfefhiiiasaarfoamm,0,9
jLLLMQPcdgfgfghiiasaansnohw,0,9
jLLLMMQbedghhgihihqfhnvohfw,0,9
jLLAMzQbcedfghiiitsafhaaamm,0,9
jLLAMzQbcedfghiiitsxfaaaaaa,0,9
hLLPMkaedefgfgjldirhkk,1,7
hLLLQkadggfefgnpxrnwjc,1,7
jLLALMQbedefhigiiaanuvndnea,0,9
jLLAvQQbedehiihgiaanunqignq,0,9
jLLLMAQcdgfefhiiiaraanfoamm,0,9
jLLvQAQbefhgffhiiaaqaqssbxr,0,9
jLLMLAQbdedgghihiajpfjwlmww,0,9
jLLLMQPbedfgfhhiiaafijnwwmw,0,9
jLLLAAQccffghfiiitnaxlafajj,0,9
jLLvMQQcdhgihigihtkagcswcov,0,9
jLLPLPQcdefggiihipwatksatst,0,9
jLLLAPQbegeghihiiaaidmnqclp,0,9
jLLLAPQceffgiiihhpaeadamdfw,0,9
jLLLAAQbedgfhgiiiaanxhavaff,0,9
jLLAMzQcddefghiiitcvaxaaaee,0,9
jLLAMzQbcedfghiiiljhfaaaaaa,0,9
iLLLAQcbcfgehgghlshaphgvw,1,8
iLLAMMcbdeeffghhevdhankhw,1,8
iLLPMMcaedefgfhhntdxrirxk,1,8
kLLLwMQkbedgijghiijaafhahjjpir,0,10
kLLLwMQkbedgijghiijhhfhahjfiir,0,10
kLLLMAMkcdgfefhijjjhsaawsoahfj,0,10
kLLLMAMkcdgfefhijjjasaawsoahvv,0,10
kLLLwMQkbedgigjhhjjaafhaoafwss,0,10
kLLAMzMkbcedfghijjjtsafhxaaarr,0,10
kLLAMzMkbcedfghijjjtsafaaaaann,0,10
kLLPMzMkccdfeghijjjqffaaaaaann,0,10
iLLALQcbdcegfghhhgrxbrwak,1,8
iLLzMQcaceefghghnsacvxqkj,1,8
kLLLLMQkbedgghhiijjaafjjnfwoln,0,10
kLLALMPkbeedfgihijjaapwbfxwmsr,0,10
